id,phase,title,ledger_1_0_status,release_0_9_disposition,evidence_or_blocker
T000,P0 Audit and scope,Freeze exact audit inputs and produce a signed immutable input manifest,OPEN,PARTIAL_UNSIGNED,audit/frozen/INPUT_MANIFEST.json; no signature was supplied
T001,P0 Audit and scope,"Reconcile Git tracked files, filesystem files, generated outputs, symlinks, binaries, and ignored release inputs",OPEN,COMPLETED_0_9,audit/frozen/TRACKED_FILE_MANIFEST.json
T002,P0 Audit and scope,Complete language-classified line-by-line review packets and reviewer assignments,OPEN,COMPLETED_SAME_TEAM,audit/frozen/FILE_REVIEW_LEDGER.csv; not independent review
T003,P0 Audit and scope,Create public surface inventory and claim-tier ledger,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T004,P0 Audit and scope,"Create threat, misuse, failure, and quirky-case register",OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T005,P0 Audit and scope,Reproduce the unmodified baseline and archive every command/result,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T006,P0 Audit and scope,Inventory TODO/FIXME/HACK/experimental/unimplemented/dormant and permissive fallback paths,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T007,P0 Audit and scope,"Inventory dependencies, features, code generators, licenses, assets, datasets, and supply-chain trust",OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T008,P0 Audit and scope,Create the requirement-to-code-to-test-to-evidence graph,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T009,P0 Audit and scope,"Freeze stable, experimental, unsupported, and removed 1.0 capability profiles",OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T010,"Path group: Product entry, lifecycle, and global state","Read and specify Product entry, lifecycle, and global state",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T011,"Path group: Product entry, lifecycle, and global state","Prove input, state, error, time, identity, and resource invariants for Product entry, lifecycle, and global state",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T012,"Path group: Product entry, lifecycle, and global state","Adversarially review numerical/security/concurrency/compatibility behavior of Product entry, lifecycle, and global state",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T013,"Path group: Product entry, lifecycle, and global state","Build independent tests, oracles, fuzz corpus, and failure injection for Product entry, lifecycle, and global state",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T014,"Path group: Product entry, lifecycle, and global state","Reconcile public docs, migrations, evidence, and downstream consumers for Product entry, lifecycle, and global state",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T015,Path group: Operator UI and components,Read and specify Operator UI and components,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T016,Path group: Operator UI and components,"Prove input, state, error, time, identity, and resource invariants for Operator UI and components",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T017,Path group: Operator UI and components,Adversarially review numerical/security/concurrency/compatibility behavior of Operator UI and components,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T018,Path group: Operator UI and components,"Build independent tests, oracles, fuzz corpus, and failure injection for Operator UI and components",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T019,Path group: Operator UI and components,"Reconcile public docs, migrations, evidence, and downstream consumers for Operator UI and components",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T020,Path group: Viewer and rendering,Read and specify Viewer and rendering,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T021,Path group: Viewer and rendering,"Prove input, state, error, time, identity, and resource invariants for Viewer and rendering",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T022,Path group: Viewer and rendering,Adversarially review numerical/security/concurrency/compatibility behavior of Viewer and rendering,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T023,Path group: Viewer and rendering,"Build independent tests, oracles, fuzz corpus, and failure injection for Viewer and rendering",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T024,Path group: Viewer and rendering,"Reconcile public docs, migrations, evidence, and downstream consumers for Viewer and rendering",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T025,Path group: Browser detection,Read and specify Browser detection,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T026,Path group: Browser detection,"Prove input, state, error, time, identity, and resource invariants for Browser detection",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T027,Path group: Browser detection,Adversarially review numerical/security/concurrency/compatibility behavior of Browser detection,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T028,Path group: Browser detection,"Build independent tests, oracles, fuzz corpus, and failure injection for Browser detection",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T029,Path group: Browser detection,"Reconcile public docs, migrations, evidence, and downstream consumers for Browser detection",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T030,Path group: Physics,Read and specify Physics,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T031,Path group: Physics,"Prove input, state, error, time, identity, and resource invariants for Physics",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T032,Path group: Physics,Adversarially review numerical/security/concurrency/compatibility behavior of Physics,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T033,Path group: Physics,"Build independent tests, oracles, fuzz corpus, and failure injection for Physics",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T034,Path group: Physics,"Reconcile public docs, migrations, evidence, and downstream consumers for Physics",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T035,Path group: Simulation and guidance preview,Read and specify Simulation and guidance preview,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T036,Path group: Simulation and guidance preview,"Prove input, state, error, time, identity, and resource invariants for Simulation and guidance preview",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T037,Path group: Simulation and guidance preview,Adversarially review numerical/security/concurrency/compatibility behavior of Simulation and guidance preview,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T038,Path group: Simulation and guidance preview,"Build independent tests, oracles, fuzz corpus, and failure injection for Simulation and guidance preview",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T039,Path group: Simulation and guidance preview,"Reconcile public docs, migrations, evidence, and downstream consumers for Simulation and guidance preview",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T040,Path group: Frontend ROS adapters,Read and specify Frontend ROS adapters,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T041,Path group: Frontend ROS adapters,"Prove input, state, error, time, identity, and resource invariants for Frontend ROS adapters",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T042,Path group: Frontend ROS adapters,Adversarially review numerical/security/concurrency/compatibility behavior of Frontend ROS adapters,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T043,Path group: Frontend ROS adapters,"Build independent tests, oracles, fuzz corpus, and failure injection for Frontend ROS adapters",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T044,Path group: Frontend ROS adapters,"Reconcile public docs, migrations, evidence, and downstream consumers for Frontend ROS adapters",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T045,Path group: Frontend neuro/NCP path,Read and specify Frontend neuro/NCP path,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T046,Path group: Frontend neuro/NCP path,"Prove input, state, error, time, identity, and resource invariants for Frontend neuro/NCP path",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T047,Path group: Frontend neuro/NCP path,Adversarially review numerical/security/concurrency/compatibility behavior of Frontend neuro/NCP path,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T048,Path group: Frontend neuro/NCP path,"Build independent tests, oracles, fuzz corpus, and failure injection for Frontend neuro/NCP path",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T049,Path group: Frontend neuro/NCP path,"Reconcile public docs, migrations, evidence, and downstream consumers for Frontend neuro/NCP path",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T050,Path group: Frontend utilities and persistence,Read and specify Frontend utilities and persistence,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T051,Path group: Frontend utilities and persistence,"Prove input, state, error, time, identity, and resource invariants for Frontend utilities and persistence",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T052,Path group: Frontend utilities and persistence,Adversarially review numerical/security/concurrency/compatibility behavior of Frontend utilities and persistence,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T053,Path group: Frontend utilities and persistence,"Build independent tests, oracles, fuzz corpus, and failure injection for Frontend utilities and persistence",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T054,Path group: Frontend utilities and persistence,"Reconcile public docs, migrations, evidence, and downstream consumers for Frontend utilities and persistence",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T055,Path group: Tauri application and IPC,Read and specify Tauri application and IPC,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T056,Path group: Tauri application and IPC,"Prove input, state, error, time, identity, and resource invariants for Tauri application and IPC",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T057,Path group: Tauri application and IPC,Adversarially review numerical/security/concurrency/compatibility behavior of Tauri application and IPC,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T058,Path group: Tauri application and IPC,"Build independent tests, oracles, fuzz corpus, and failure injection for Tauri application and IPC",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T059,Path group: Tauri application and IPC,"Reconcile public docs, migrations, evidence, and downstream consumers for Tauri application and IPC",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T060,Path group: Common image/detection utilities,Read and specify Common image/detection utilities,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T061,Path group: Common image/detection utilities,"Prove input, state, error, time, identity, and resource invariants for Common image/detection utilities",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T062,Path group: Common image/detection utilities,Adversarially review numerical/security/concurrency/compatibility behavior of Common image/detection utilities,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T063,Path group: Common image/detection utilities,"Build independent tests, oracles, fuzz corpus, and failure injection for Common image/detection utilities",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T064,Path group: Common image/detection utilities,"Reconcile public docs, migrations, evidence, and downstream consumers for Common image/detection utilities",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T065,Path group: Inference abstraction,Read and specify Inference abstraction,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T066,Path group: Inference abstraction,"Prove input, state, error, time, identity, and resource invariants for Inference abstraction",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T067,Path group: Inference abstraction,Adversarially review numerical/security/concurrency/compatibility behavior of Inference abstraction,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T068,Path group: Inference abstraction,"Build independent tests, oracles, fuzz corpus, and failure injection for Inference abstraction",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T069,Path group: Inference abstraction,"Reconcile public docs, migrations, evidence, and downstream consumers for Inference abstraction",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T070,Path group: CoreML and native Apple boundary,Read and specify CoreML and native Apple boundary,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T071,Path group: CoreML and native Apple boundary,"Prove input, state, error, time, identity, and resource invariants for CoreML and native Apple boundary",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T072,Path group: CoreML and native Apple boundary,Adversarially review numerical/security/concurrency/compatibility behavior of CoreML and native Apple boundary,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T073,Path group: CoreML and native Apple boundary,"Build independent tests, oracles, fuzz corpus, and failure injection for CoreML and native Apple boundary",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T074,Path group: CoreML and native Apple boundary,"Reconcile public docs, migrations, evidence, and downstream consumers for CoreML and native Apple boundary",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T075,Path group: ONNX/TensorRT/CUDA path,Read and specify ONNX/TensorRT/CUDA path,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T076,Path group: ONNX/TensorRT/CUDA path,"Prove input, state, error, time, identity, and resource invariants for ONNX/TensorRT/CUDA path",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T077,Path group: ONNX/TensorRT/CUDA path,Adversarially review numerical/security/concurrency/compatibility behavior of ONNX/TensorRT/CUDA path,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T078,Path group: ONNX/TensorRT/CUDA path,"Build independent tests, oracles, fuzz corpus, and failure injection for ONNX/TensorRT/CUDA path",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T079,Path group: ONNX/TensorRT/CUDA path,"Reconcile public docs, migrations, evidence, and downstream consumers for ONNX/TensorRT/CUDA path",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
